                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4846,                 1.6104,                 1.9953,                0.61784,                0.68918,                0.71799,                0.35175,                 1.7956,                 1.6032,                 2.3243,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.4157,                 1.5877,                 1.9419,                0.64786,                0.66013,                0.74918,                0.35802,                 1.8166,                 1.6376,                 2.4101,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4525,                 1.6124,                 1.9723,                0.56424,                0.73444,                0.71795,                0.37419,                 1.6067,                 1.6775,                 2.2067,               0.000948,               0.000948,               0.000948
                     37,                 1.4254,                 1.5779,                 1.9531,                0.67968,                0.63403,                0.66234,                 0.2862,                 2.0879,                   1.75,                 2.7806,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4159,                 1.5369,                 1.9222,                0.62678,                0.56504,                0.67912,                 0.3593,                 1.5752,                 1.5487,                 2.1587,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.4022,                 1.5879,                 1.9281,                0.76467,                 0.6904,                0.76305,                0.39534,                 1.4502,                 1.5134,                 2.1119,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.4093,                 1.5398,                 1.9204,                 0.6937,                0.69747,                0.80569,                0.44964,                 1.6737,                 1.5365,                 2.2759,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3346,                 1.4712,                  1.854,                0.64854,                0.79485,                 0.6751,                0.37646,                 1.6007,                 1.5436,                 2.2301,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3707,                 1.4798,                 1.8876,                0.65664,                0.72881,                 0.7785,                0.42508,                 1.2872,                 1.3713,                 2.0432,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.3042,                  1.426,                 1.8423,                0.78492,                0.72521,                0.73336,                0.46792,                 1.0693,                 1.3337,                 1.8008,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3057,                 1.3927,                 1.8298,                0.74538,                0.54576,                0.69956,                 0.3841,                 1.5048,                 1.4541,                   2.07,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2839,                 1.3827,                 1.8234,                0.81303,                0.59076,                0.72588,                0.44067,                 1.3947,                 1.3615,                 1.9776,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.3179,                 1.3824,                 1.8333,                0.90488,                0.72385,                0.82518,                0.43606,                 1.6206,                  1.286,                 2.1269,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2713,                 1.3913,                 1.8135,                 0.8613,                0.63703,                0.80029,                0.48259,                 1.3366,                 1.2445,                 2.0062,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.3049,                  1.353,                 1.8228,                0.72068,                 0.7165,                 0.7863,                0.46354,                 1.2567,                 1.1806,                 1.9164,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2608,                 1.3118,                 1.7833,                0.71104,                0.75897,                 0.8216,                0.44006,                 1.6125,                 1.3135,                 2.1422,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2754,                 1.2908,                 1.8032,                0.88366,                0.74673,                0.82138,                0.46296,                 1.4805,                 1.2432,                 2.0454,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2332,                 1.2577,                 1.7625,                0.69708,                0.83016,                0.80659,                0.49216,                 1.2475,                 1.1859,                 1.8635,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2028,                 1.2457,                 1.7385,                0.75328,                 0.8119,                0.83408,                 0.4152,                 1.6808,                 1.2988,                 2.1592,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2379,                 1.2901,                 1.7589,                0.72997,                0.73865,                 0.7864,                0.51233,                 1.3077,                  1.153,                 1.8623,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2162,                 1.2679,                 1.7477,                0.74781,                0.68524,                0.80791,                0.48912,                  1.219,                 1.1067,                 1.8005,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1876,                 1.2175,                 1.7173,                0.87612,                0.76438,                 0.8391,                0.48102,                 1.5456,                 1.1606,                 1.9736,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2053,                 1.2292,                 1.7215,                0.74908,                0.81256,                0.81931,                0.46963,                 1.6373,                 1.1858,                 2.1317,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2374,                 1.2132,                 1.7545,                 0.7504,                0.79045,                0.83487,                0.55344,                 1.1246,                 1.0334,                 1.7255,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.195,                  1.216,                 1.7105,                0.69715,                0.82112,                 0.8347,                0.49279,                 1.3576,                 1.0894,                 1.8935,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1654,                 1.1865,                 1.7019,                0.87603,                0.77263,                0.86861,                0.55175,                 1.1858,                 1.0447,                  1.772,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1669,                 1.1467,                 1.6968,                0.87693,                0.73444,                0.84976,                0.56059,                 1.3732,                 1.1987,                 1.9491,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1468,                 1.1656,                 1.6643,                0.73997,                0.77525,                0.81283,                0.53323,                 1.0974,                 1.0452,                 1.7071,             0.00059432,             0.00059432,             0.00059432
                     62,                  1.138,                 1.1506,                 1.6586,                0.82258,                0.85326,                0.88252,                 0.5371,                   1.19,                 1.0213,                 1.7764,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1659,                 1.1178,                 1.6787,                0.80113,                0.80503,                0.86176,                0.56912,                 1.1692,                0.97999,                 1.7154,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1759,                 1.1272,                 1.7162,                0.70295,                 0.8105,                0.86097,                0.58257,                 1.0858,                0.99772,                 1.6476,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1427,                 1.1108,                 1.6723,                0.76565,                0.75003,                0.83804,                0.53448,                 1.2465,                 1.0889,                 1.8274,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1176,                 1.1093,                 1.6613,                0.84264,                0.84695,                0.86434,                0.53508,                 1.3102,                 1.0287,                 1.8523,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1193,                 1.0877,                 1.6514,                0.69952,                0.86086,                0.83194,                0.54832,                 1.1462,                 0.9823,                 1.7436,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1377,                 1.1001,                 1.6623,                0.84421,                0.76252,                0.84453,                0.58843,                 1.1067,                0.96455,                 1.7115,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1444,                 1.0769,                 1.6529,                0.80425,                0.73265,                0.85247,                0.57419,                 1.0996,                0.93864,                 1.6763,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0752,                 1.0385,                 1.6018,                 0.7567,                0.83874,                 0.8441,                0.53668,                 1.1467,                 0.9689,                 1.7423,               0.000467,               0.000467,               0.000467
                     71,                 1.0703,                  1.025,                 1.6147,                0.77823,                0.81054,                0.83757,                0.56951,                 1.0768,                0.94563,                 1.6829,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0887,                 1.0065,                 1.6097,                0.70711,                0.80669,                0.82663,                0.56482,                 1.1117,                0.92863,                 1.6963,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0993,                 1.0102,                 1.6124,                0.88417,                0.76079,                0.85523,                0.62083,                 1.0986,                0.94352,                 1.6916,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0566,                 0.9713,                 1.5928,                0.88352,                0.79461,                0.86485,                0.56506,                 1.2209,                0.98828,                  1.797,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0538,                 1.0287,                 1.6081,                0.86486,                0.82081,                0.86887,                0.63153,                 1.0424,                0.90984,                 1.6498,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0739,                 1.0256,                 1.6221,                0.71679,                0.82728,                0.86286,                0.57345,                 1.2488,                0.96807,                 1.8135,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0299,                0.98177,                 1.5929,                0.70219,                0.84463,                0.84017,                0.57908,                  1.028,                 0.9606,                  1.649,             0.00036797,             0.00036797,             0.00036797
